state_name,lead_day,valid_time,latitude,longitude,rfs,normal,deviation,temperature_C,r2,pressure_hPa,wind_speed,wind_direction,previous_error_mean,previous_bust_rate,bust_probability,stress_score,confidence,risk_reasons
Chhattisgarh,3,2026-08-30,21.25,82.0,1.3125,11.814838709677419,-88.89108829793044,23.814545,94.3,1004.83545,3.7592216,246.87946,12.548285604495197,0.196121080297263,0.051904716392078866,18.529332305434252,HIGH CONFIDENCE,Very high humidity
Chhattisgarh,4,2026-08-31,21.25,82.0,2.0625,11.814838709677419,-82.54313875389067,23.448853,92.3,1004.752,3.4698005,262.9157,12.548285604495197,0.196121080297263,0.050636470951336394,18.27230199092467,HIGH CONFIDENCE,Very high humidity
Chhattisgarh,5,2026-09-01,21.25,82.0,0.0,7.513,-100.0,22.711884,90.1,1004.6602,3.226412,246.44228,12.548285604495197,0.196121080297263,0.04086596231370727,16.17737544258872,HIGH CONFIDENCE,Very high humidity
Chhattisgarh,6,2026-09-02,21.25,82.0,1.75,7.513,-76.70704112871024,22.511322,96.2,1005.769,2.8663688,265.6125,12.548285604495197,0.196121080297263,0.049031164641955755,19.279421888158467,HIGH CONFIDENCE,Very high humidity
Chhattisgarh,7,2026-09-03,21.25,82.0,5.9375,7.513,-20.97031811526687,22.112122,97.1,1003.65173,5.2048965,256.5866,12.548285604495197,0.196121080297263,0.20133517016137734,29.655390437330727,HIGH CONFIDENCE,Elevated ML bust risk | Very high humidity
Chhattisgarh,8,2026-09-04,21.25,82.0,77.5,7.513,931.5453214428323,22.373016,98.3,1002.47174,6.173489,259.56506,12.548285604495197,0.196121080297263,0.9800600892850052,76.77750139928236,LOW CONFIDENCE,Very high ML bust risk | Rainfall forecast well above normal | Very high humidity
Chhattisgarh,9,2026-09-05,21.25,82.0,0.9375,7.513,-87.52162917609478,22.38379,95.3,1003.9881,4.0350213,196.02568,12.548285604495197,0.196121080297263,0.04915824990730608,18.81277575284103,HIGH CONFIDENCE,Very high humidity
Chhattisgarh,10,2026-09-06,21.25,82.0,0.0,7.513,-100.0,21.869965,95.9,1006.781,2.8625834,181.14272,12.548285604495197,0.196121080297263,0.04086596231370727,17.506100624108704,HIGH CONFIDENCE,Very high humidity
Goa,1,2026-08-28,15.25,74.0,2.5625,18.496774193548386,-86.14623299616323,24.25,88.4,1010.71576,2.0699382,269.66333,12.237755366908338,0.21258415328845157,0.06382811727887516,17.227696875939497,HIGH CONFIDENCE,Frequent historical forecast busts
Goa,2,2026-08-29,15.25,74.0,2.5,18.496774193548386,-86.48412975235438,24.350006,85.4,1011.0086,2.4411469,268.18134,12.237755366908338,0.21258415328845157,0.06287573632649422,16.541967512159992,HIGH CONFIDENCE,Frequent historical forecast busts
