latitude,longitude,valid_time,lead_day,u10,v10,wind_speed,wind_direction,temperature_C,r2,pressure_hPa,tp
5.25,75.75,2026-08-28,1,6.3799024,0.9621631,6.4520473,261.42377,27.850006,78.3,1012.60974,1.1875
5.25,76.0,2026-08-28,1,6.5099025,1.0321631,6.591221,260.9906,27.75,79.2,1012.57776,2.0625
5.25,76.25,2026-08-28,1,6.4699025,1.3421631,6.6076503,258.2804,27.75,79.3,1012.60376,3.0625
5.25,76.5,2026-08-28,1,6.7599025,1.392163,6.9017677,258.36298,27.75,79.2,1012.5877,5.0
5.25,76.75,2026-08-28,1,7.3399024,1.402163,7.472632,259.18494,27.75,79.4,1012.46375,5.6875
5.25,77.0,2026-08-28,1,7.349902,1.2421631,7.4541283,260.40744,27.75,79.3,1012.47375,4.3125
5.25,77.25,2026-08-28,1,6.809902,1.4321631,6.958869,258.12344,27.350006,80.9,1012.5898,4.25
5.25,77.5,2026-08-28,1,7.0499024,1.902163,7.30201,254.90036,27.149994,81.5,1012.48376,4.8125
5.25,77.75,2026-08-28,1,6.6499023,1.882163,6.911132,254.19656,27.149994,81.3,1012.5477,5.625
5.25,78.0,2026-08-28,1,6.6999025,1.7321631,6.920194,255.50441,27.25,80.4,1012.54974,4.625
5.25,78.25,2026-08-28,1,7.1899023,1.8021631,7.4123197,255.92862,27.350006,79.6,1012.51373,3.1875
5.25,78.5,2026-08-28,1,6.5699024,2.352163,6.9782724,250.30157,27.050018,81.2,1012.5798,4.8125
5.25,78.75,2026-08-28,1,6.369902,2.822163,6.967084,246.10443,26.950012,80.8,1012.6238,5.5
5.25,79.0,2026-08-28,1,6.4599023,2.822163,7.0494637,246.40074,27.149994,80.0,1012.6658,4.6875
5.25,79.25,2026-08-28,1,6.5699024,3.0521631,7.244261,245.08194,27.25,79.5,1012.5877,3.125
5.25,79.5,2026-08-28,1,6.7199025,3.442163,7.550204,242.87692,27.350006,79.8,1012.47974,3.0625
5.25,79.75,2026-08-28,1,6.6299024,3.692163,7.588654,240.88676,27.25,79.9,1012.46576,2.375
5.25,80.0,2026-08-28,1,6.829902,3.812163,7.8217745,240.83159,27.25,80.2,1012.42975,1.375
5.25,80.25,2026-08-28,1,7.2999024,3.932163,8.291591,241.69044,27.25,80.7,1012.30774,1.9375
5.25,80.5,2026-08-28,1,7.4699025,3.882163,8.41847,242.53877,27.149994,80.8,1012.2658,3.6875
5.25,80.75,2026-08-28,1,7.7399025,3.832163,8.636641,243.65918,27.149994,80.1,1012.22174,4.375
5.25,81.0,2026-08-28,1,7.9699025,3.882163,8.86513,244.02916,27.350006,79.3,1012.1677,3.625
5.25,81.25,2026-08-28,1,8.429902,4.112163,9.379399,243.99658,27.550018,78.9,1012.0798,3.1875
5.25,81.5,2026-08-28,1,8.689902,4.1621633,9.635248,244.4072,27.649994,78.8,1011.9598,1.0
5.25,81.75,2026-08-28,1,8.619903,4.332163,9.647298,243.31696,27.75,78.8,1011.8758,1.375
5.25,82.0,2026-08-28,1,8.409903,4.8721633,9.719282,239.91473,27.649994,79.3,1011.8577,1.0625
5.25,82.25,2026-08-28,1,8.599902,5.422163,10.166522,237.76894,27.649994,79.6,1011.7017,0.4375
5.25,82.5,2026-08-28,1,8.259902,5.772163,10.076897,235.05348,27.649994,79.8,1011.6958,0.8125
5.25,82.75,2026-08-28,1,7.9999022,5.952163,9.9712925,233.34967,27.75,79.7,1011.73773,1.0625
5.25,83.0,2026-08-28,1,7.7299023,6.1821632,9.898006,231.34814,27.75,79.6,1011.7698,1.625
5.25,83.25,2026-08-28,1,7.5699024,6.202163,9.786227,230.6716,27.850006,79.7,1011.74774,2.0
5.25,83.5,2026-08-28,1,7.4699025,6.302163,9.773265,229.84654,27.850006,80.3,1011.56976,1.5
5.25,83.75,2026-08-28,1,7.039902,6.652163,9.685634,226.62212,27.75,80.4,1011.71173,1.0625
5.25,84.0,2026-08-28,1,6.8199024,6.742163,9.589986,225.32843,27.75,80.2,1011.74976,1.25
5.25,84.25,2026-08-28,1,6.6099024,6.812163,9.491911,224.13667,27.75,80.1,1011.73975,1.8125
5.25,84.5,2026-08-28,1,6.6299024,6.9321632,9.59221,223.72325,27.850006,80.5,1011.61774,2.25
